,cumOOI_index,kepid,prob0,prob1
1176,4935,9966219,4.188265913935618e-05,0.9999581173408607
1174,4921,11551692,4.188265913935618e-05,0.9999581173408607
1173,4920,4844470,4.188265913935618e-05,0.9999581173408607
542,2644,9650989,4.188265913935618e-05,0.9999581173408607
472,2372,3425851,4.188265913935618e-05,0.9999581173408607
469,2361,8259713,4.188265913935618e-05,0.9999581173408607
571,2761,3831053,4.188265913935618e-05,0.9999581173408607
1229,5092,4263529,4.188265913935618e-05,0.9999581173408607
386,2066,8379705,4.188265913935618e-05,0.9999581173408607
387,2067,9896018,4.188265913935618e-05,0.9999581173408607
388,2069,11818872,4.188265913935618e-05,0.9999581173408607
1285,5579,10917681,4.188265913935618e-05,0.9999581173408607
1284,5563,7762723,4.188265913935618e-05,0.9999581173408607
393,2091,12156347,4.188265913935618e-05,0.9999581173408607
394,2092,8636539,4.188265913935618e-05,0.9999581173408607
395,2093,9283156,4.188265913935618e-05,0.9999581173408607
397,2102,9574158,4.188265913935618e-05,0.9999581173408607
1281,5517,8189801,4.188265913935618e-05,0.9999581173408607
399,2105,7294743,4.188265913935618e-05,0.9999581173408607
400,2108,6765135,4.188265913935618e-05,0.9999581173408607
1278,5495,5211199,4.188265913935618e-05,0.9999581173408607
402,2116,5342061,4.188265913935618e-05,0.9999581173408607
403,2124,4047631,4.188265913935618e-05,0.9999581173408607
404,2136,8022489,4.188265913935618e-05,0.9999581173408607
406,2145,7183745,4.188265913935618e-05,0.9999581173408607
407,2146,9177629,4.188265913935618e-05,0.9999581173408607
409,2152,7446631,4.188265913935618e-05,0.9999581173408607
385,2063,8110767,4.188265913935618e-05,0.9999581173408607
384,2062,8631504,4.188265913935618e-05,0.9999581173408607
1291,5652,9149789,4.188265913935618e-05,0.9999581173408607
1298,5673,11244682,4.188265913935618e-05,0.9999581173408607
1303,5694,4947556,4.188265913935618e-05,0.9999581173408607
359,1971,10471621,4.188265913935618e-05,0.9999581173408607
362,1984,8073806,4.188265913935618e-05,0.9999581173408607
363,1988,8074328,4.188265913935618e-05,0.9999581173408607
364,1993,6605493,4.188265913935618e-05,0.9999581173408607
365,1994,4670217,4.188265913935618e-05,0.9999581173408607
367,1997,6211812,4.188265913935618e-05,0.9999581173408607
1299,5676,4947556,4.188265913935618e-05,0.9999581173408607
1297,5671,11705004,4.188265913935618e-05,0.9999581173408607
380,2033,7501646,4.188265913935618e-05,0.9999581173408607
371,2001,8894646,4.188265913935618e-05,0.9999581173408607
1294,5658,4814502,4.188265913935618e-05,0.9999581173408607
1293,5656,5773121,4.188265913935618e-05,0.9999581173408607
374,2007,11852982,4.188265913935618e-05,0.9999581173408607
1292,5654,7051984,4.188265913935618e-05,0.9999581173408607
