,cumOOI_index,kepid,prob0,prob1
1415,6139,3355104,0.008185081437077371,0.9918149185629229
702,3384,10287242,0.00818619246066916,0.9918138075393312
83,691,6607447,0.008332291635666973,0.9916677083643333
880,4110,11769689,0.008419852831845565,0.9915801471681547
2117,8281,4862625,0.008492086622889186,0.9915079133771108
1171,4915,3561464,0.008529471145721881,0.991470528854278
867,4066,8890924,0.00866435898460494,0.9913356410153947
1152,4824,8078502,0.008742268973558022,0.9912577310264424
950,4274,11506654,0.008907577528437419,0.9910924224715627
1148,4803,5553959,0.008907577528437419,0.9910924224715627
1386,6046,6879183,0.008931378012593033,0.9910686219874074
463,2335,12602314,0.009019104693165698,0.9909808953068345
2348,9258,7202957,0.009049447206399101,0.9909505527936011
613,2897,10122538,0.00908413494252304,0.990915865057477
534,2622,9020114,0.00916952553284945,0.9908304744671504
874,4090,6223324,0.009210481535915385,0.9907895184640849
335,1905,5211199,0.00927925476978262,0.9907207452302172
1894,7269,8355178,0.009376260175833427,0.9906237398241667
1073,4580,6955671,0.009451978134554841,0.9905480218654453
1652,6736,8429817,0.009543291113723462,0.9904567088862767
5,84,3115833,0.00970830539052276,0.9902916946094775
1644,6726,7377343,0.009786362947669892,0.9902136370523305
1312,5801,9084778,0.00984129355222701,0.9901587064477734
1077,4590,7017274,0.009878689879397181,0.9901213101206028
498,2477,5794570,0.00991736945540787,0.9900826305445919
671,3239,9008220,0.009980510709114635,0.9900194892908856
446,2276,7584650,0.01006400309674766,0.9899359969032521
86,719,10713616,0.010183148460927209,0.989816851539073
2,58,11818800,0.010377043667426832,0.9896229563325732
650,3083,7017274,0.010523666347176481,0.9894763336528234
906,4175,9773270,0.01067120445107683,0.9893287955489235
605,2867,3230805,0.010757958874851987,0.9892420411251481
714,3456,5441980,0.010774702556855881,0.9892252974431444
308,1812,6934986,0.010869344350473306,0.9891306556495268
553,2693,7051180,0.011112173259954942,0.9888878267400452
9,112,4544670,0.011134962219463024,0.9888650377805372
107,858,9427402,0.011156624339506038,0.9888433756604943
435,2243,6149910,0.01115994473113305,0.988840055268867
1278,5495,5211199,0.011169910955158404,0.9888300890448416
261,1642,5124667,0.011253303165781174,0.988746696834219
547,2673,7364176,0.011253303165781174,0.988746696834219
400,2108,6765135,0.011253303165781174,0.988746696834219
825,3944,9514372,0.011253303165781174,0.988746696834219
452,2291,8758204,0.011253303165781174,0.988746696834219
765,3737,6428794,0.011253303165781174,0.988746696834219
1190,4976,7692093,0.011372542208185323,0.9886274577918147
164,1190,12120943,0.011470296366398762,0.9885297036336016
1801,6973,3634051,0.011488885714553412,0.9885111142854462
44,404,3942446,0.011553514255662124,0.988446485744338
310,1818,10798331,0.011619997403443154,0.988380002596557
676,3275,8056665,0.01178090085967455,0.9882190991403255
926,4221,9002538,0.011826970559747569,0.9881730294402522
232,1496,3239671,0.011908412927633108,0.9880915870723672
