,koi_fpflag_nt,koi_fpflag_ss,koi_fpflag_co,koi_fpflag_ec,koi_period,koi_time0,koi_eccen,koi_impact,koi_duration,koi_depth,koi_ror,koi_srho,koi_prad,koi_sma,koi_incl,koi_teq,koi_insol,koi_dor,koi_ldm_coeff2,koi_ldm_coeff1,koi_max_sngle_ev,koi_max_mult_ev,koi_model_snr,koi_num_transits,koi_tce_plnt_num,koi_quarters,koi_bin_oedp_sig,koi_steff,koi_slogg,koi_smet,koi_srad,koi_smass,ra,dec,koi_kepmag,koi_gmag,koi_rmag,koi_imag,koi_zmag,koi_jmag,koi_hmag,koi_kmag,koi_fwm_stat_sig,koi_fwm_sra,koi_fwm_sdec,koi_fwm_srao,koi_fwm_sdeco,koi_fwm_prao,koi_fwm_pdeco,koi_dicco_mra,koi_dicco_mdec,koi_dicco_msky,koi_dikco_mra,koi_dikco_mdec,koi_dikco_msky,ENC_LS,ENC_LS+MCMC,ENC_MCMC,ENC_none
4590,0.0,0.0,0.0,0.0,11.91256675,2454976.16,0.0,0.174,6.126,123.0,0.010217,0.43181,2.61,0.1183,89.33,1242.0,562.27,14.8,0.3061,0.3279,4.2669125,15.7930565,27.8,112.0,1.0,1.11111e+31,0.3392,6337.0,3.8930000000000002,0.16,2.335,1.556,285.92322,42.54985,11.915,12.125,11.845,11.777999999999999,11.798,11.02,10.75,10.745,0.341,19.0615697,42.549553,0.86,-1.07,2.8999999999999997e-05,-2e-06,0.08,0.56,0.56,0.11,0.53,0.54,0.0,1.0,0.0,0.0
4591,0.0,0.0,0.0,0.0,4.08197713,2454965.11,0.0,0.32799999999999996,2.943,26.2,0.004772,1.16426,0.6,0.0511,88.14,1372.0,836.88,10.08,0.3071,0.2866,2.875542,7.918291,9.3,333.0,1.0,1.11111e+31,0.5117,6538.0,4.3389999999999995,-0.4,1.156,1.061,288.52902,42.27626,13.05,13.341,13.004000000000001,12.925,12.895999999999999,12.067,11.82,11.777999999999999,0.004,19.235267,42.27564,0.0,-2.2,5e-06,6.4e-05,0.13,1.02,1.03,0.07,1.15,1.15,0.0,1.0,0.0,0.0
4595,0.0,0.0,0.0,0.0,0.912179022,2454964.812,0.0,0.038,1.3319999999999999,145.0,0.010786,3.4151199999999995,0.65,0.0155,89.59,1025.0,260.05,5.32,0.1433,0.6041,3.1040375,9.210767,10.3,1469.0,1.0,1.11111e+31,0.9994,3880.0,4.7219999999999995,0.14,0.555,0.591,290.78213999999997,38.18779,15.783,17.267,15.898,15.147,14.719000000000001,13.48,12.805,12.639000000000001,0.006,19.385471,38.18696,-0.2,-3.0,-1e-05,0.00032,0.24,0.59,0.63,0.21,0.13,0.24,0.0,1.0,0.0,0.0
4598,0.0,0.0,0.0,0.0,76.87935893,2454979.8819999998,0.0,0.8640000000000001,2.3819,21300.0,0.161985,22.553179999999998,7.71,0.2746,89.74,202.0,0.4,191.715,0.4064,0.2898,38.037132,118.37778,131.0,14.0,1.0,1.11111e+31,0.6321,3638.0,4.828,-0.06,0.436,0.467,285.09586,50.10096,15.949000000000002,17.525,16.118,15.273,14.854000000000001,13.558,12.886,12.725999999999999,0.008,19.0063796,50.101032000000004,-0.36,0.26,0.001,0.004,-0.011000000000000001,-0.011000000000000001,0.015,-0.124,-0.062,0.139,0.0,1.0,0.0,0.0
4600,0.0,0.0,0.0,0.0,13.0151826,2454967.747,0.0,0.852,3.613,332.0,0.019397,0.41095,1.36,0.09300000000000001,86.84,556.0,22.6,15.44,0.1392,0.5856,3.6193353999999998,8.926038,11.9,103.0,1.0,1.11111e+31,0.1809,4794.0,4.622,-0.5,0.643,0.632,293.25903,45.837447999999995,15.960999999999999,16.804000000000002,15.922,15.6,15.415999999999999,14.324000000000002,13.735,13.66,0.009000000000000001,19.550614000000003,45.836940000000006,0.4,-1.8,-0.00028,0.00053,0.52,0.13,0.54,0.1,-0.16,0.19,0.0,1.0,0.0,0.0
4604,0.0,0.0,0.0,0.0,7.28116667,2454965.752,0.0,0.1,2.716,334.0,0.016222999999999998,3.17541,1.4,0.0696,89.72,744.0,72.16,20.72,0.1451,0.5820000000000001,3.8090512999999997,10.5991125,11.5,157.0,1.0,1.11111e+28,0.2578,5008.0,4.572,0.18,0.7879999999999999,0.8440000000000001,291.50812,45.370159,15.993,16.829,15.925,15.634,15.52,14.427999999999999,13.915999999999999,13.802,0.038,19.433862,45.37064,-0.5,1.7,0.00015,-0.00059,-0.54,0.68,0.87,-0.68,0.57,0.89,0.0,1.0,0.0,0.0
4606,0.0,0.0,0.0,0.0,2.87998334,2454964.485,0.0,0.22,1.6580000000000001,117.0,0.009651999999999999,5.11378,0.85,0.0366,89.04,1024.0,260.79,13.09,0.1496,0.5746,3.3648057000000002,8.497567,9.9,366.0,1.0,1.11111e+31,0.5523,4951.0,4.523,0.14,0.8059999999999999,0.79,284.76093,49.141979,14.712,15.436,14.667,14.402000000000001,14.27,13.258,12.727,12.697000000000001,0.242,18.983985999999998,49.14179,-2.7,-0.7,0.00022,9e-05,-0.51,1.28,1.38,-0.48,1.75,1.82,0.0,1.0,0.0,0.0
4609,0.0,0.0,0.0,0.0,21.08678557,2454968.5640000002,0.0,0.7020000000000001,0.978,500.0,0.022065,77.97454,2.08,0.1467,89.67,651.0,42.44,122.4,0.2979,0.3238,3.8003235,8.782849,11.0,54.0,1.0,1.11111e+31,0.9718,6084.0,4.542,-0.44,0.863,0.9440000000000001,296.09842000000003,47.992699,15.185,15.614,15.142999999999999,15.0,14.944,14.062000000000001,13.73,13.665999999999999,0.0,19.739812,47.9916,-3.0,-4.0,0.00147,0.0018899999999999998,-1.9,-1.53,2.44,-1.81,-1.45,2.32,0.0,1.0,0.0,0.0
4614,0.0,0.0,0.0,0.0,5.19206571,2454967.5609999998,0.0,0.847,3.716,66.6,0.008465,0.14462,0.99,0.0611,81.75,1170.0,442.55,5.91,0.302,0.319,3.6894176,8.990141,10.5,259.0,1.0,1.11111e+31,0.5356,6322.0,4.426,-0.12,1.075,1.124,288.97182999999995,46.265202,14.423,14.785,14.366,14.267999999999999,14.235,13.378,13.136,13.100999999999999,0.562,19.264767000000003,46.2653,-0.8,0.4,5.5e-05,-3.3e-05,0.2,0.7,0.8,0.2,0.7,0.7,0.0,1.0,0.0,0.0
4615,0.0,0.0,0.0,0.0,449.01499,2454977.707,0.0,0.2182,12.58,94.2,0.008921,1.8200599999999998,1.04,1.137,89.95,258.0,1.04,268.7,0.2942,0.3382,9.69436118353916,46.64902243229918,8.5,73.61749724518775,1.0,1.1077048300603574e+31,0.19127620912044663,6031.0,4.368,-0.22,1.068,0.972,286.22812000000005,50.01358,12.290999999999999,12.685,12.234000000000002,12.123,12.085,11.18,10.874,10.847999999999999,0.057,19.0818,50.01372,-2.6,0.5,0.0003,-7e-05,0.86,-1.75,1.95,1.01,-1.75,2.02,0.0,0.0,1.0,0.0
4619,0.0,0.0,0.0,0.0,17.453294500000002,2454979.662,0.0,0.35700000000000004,4.027,79.3,0.008165,1.89005,0.76,0.1242,89.35,639.0,39.42,31.2,0.2434,0.4341,3.3021681000000003,8.376621,12.0,73.0,4.0,1.11111e+31,0.4485,5528.0,4.499,-0.2,0.853,0.838,283.00296000000003,44.284228999999996,13.404000000000002,13.883,13.367,13.198,13.110999999999999,12.198,11.819,11.745,0.16067189431731366,18.866929000000003,44.28405,2.5,-0.6,-0.00021,-0.00020684106103569913,-0.4,1.11,1.2,-0.5,0.93,1.04,0.0,1.0,0.0,0.0
